Name	AccessionID	Date	Continent	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745175/2020-12-07	EPI_ISL_745175	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745176/2020-12-07	EPI_ISL_745176	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745177/2020-12-07	EPI_ISL_745177	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745178/2020-12-07	EPI_ISL_745178	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745179/2020-12-07	EPI_ISL_745179	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745180/2020-12-07	EPI_ISL_745180	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745181/2020-12-07	EPI_ISL_745181	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745182/2020-12-07	EPI_ISL_745182	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745183/2020-12-07	EPI_ISL_745183	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745184/2020-12-07	EPI_ISL_745184	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745186/2020-12-07	EPI_ISL_745186	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_7456439/2021-09-21	EPI_ISL_7456439	2021/09/21	Africa	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/NorthAmerica/USA/California/LosAngelesCounty/EPI_ISL_7507402/2021-04-16	EPI_ISL_7507402	2021/04/16	NorthAmerica	USA	California	USA
hCoV-19/NorthAmerica/USA/California/LosAngelesCounty/EPI_ISL_7507406/2021-02-10	EPI_ISL_7507406	2021/02/10	NorthAmerica	USA	California	USA
hCoV-19/NorthAmerica/USA/California/LosAngelesCounty/EPI_ISL_7507515/2021-03-30	EPI_ISL_7507515	2021/03/30	NorthAmerica	USA	California	USA
hCoV-19/NorthAmerica/USA/California/LosAngelesCounty/EPI_ISL_7507685/2021-03-28	EPI_ISL_7507685	2021/03/28	NorthAmerica	USA	California	USA
hCoV-19/NorthAmerica/USA/California/LosAngelesCounty/EPI_ISL_7508821/2021-02-12	EPI_ISL_7508821	2021/02/12	NorthAmerica	USA	California	USA
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_7545672/2021-12-02	EPI_ISL_7545672	2021/12/02	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Asia/Bangladesh/Dhaka/WestKafrul/EPI_ISL_7547538/2021-03-29	EPI_ISL_7547538	2021/03/29	Asia	Bangladesh	Dhaka	Bangladesh
hCoV-19/Asia/Philippines/Soccsksargen/EPI_ISL_7570000/2021-05-24	EPI_ISL_7570000	2021/05/24	Asia	Philippines	Soccsksargen	Philippines
hCoV-19/Asia/Philippines/Soccsksargen/EPI_ISL_7570001/2021-05-24	EPI_ISL_7570001	2021/05/24	Asia	Philippines	Soccsksargen	Philippines
hCoV-19/Asia/Philippines/Soccsksargen/EPI_ISL_7570166/2021-05-24	EPI_ISL_7570166	2021/05/24	Asia	Philippines	Soccsksargen	Philippines
hCoV-19/Asia/Philippines/Soccsksargen/EPI_ISL_7570171/2021-05-24	EPI_ISL_7570171	2021/05/24	Asia	Philippines	Soccsksargen	Philippines
hCoV-19/Asia/Philippines/AutonomousRegionInMuslimMindanao/EPI_ISL_7570174/2021-05-25	EPI_ISL_7570174	2021/05/25	Asia	Philippines	AutonomousRegionInMuslimMindanao	Philippines
hCoV-19/NorthAmerica/USA/Kentucky/EPI_ISL_7570539/2021-05-05	EPI_ISL_7570539	2021/05/05	NorthAmerica	USA	Kentucky	USA
hCoV-19/Asia/SaudiArabia/Jeddah/EPI_ISL_7570637/2021-07-17	EPI_ISL_7570637	2021/07/17	Asia	SaudiArabia	Jeddah	SaudiArabia
hCoV-19/Africa/SouthAfrica/EasternCape/EPI_ISL_7605583/2021-10-15	EPI_ISL_7605583	2021/10/15	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_761052/2020-12-18	EPI_ISL_761052	2020/12/18	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_761059/2020-12-12	EPI_ISL_761059	2020/12/12	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_762362/2020-12-17	EPI_ISL_762362	2020/12/17	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_762499/2020-12-17	EPI_ISL_762499	2020/12/17	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Asia/SouthKorea/EPI_ISL_762992/2020-12-26	EPI_ISL_762992	2020/12/26	Asia	SouthKorea	EPI_ISL_762992	SouthKorea
hCoV-19/Europe/UnitedKingdom/Scotland/EPI_ISL_764278/2020-12-26	EPI_ISL_764278	2020/12/26	Europe	UnitedKingdom	Scotland	UnitedKingdom
hCoV-19/Europe/UnitedKingdom/Scotland/EPI_ISL_764279/2020-12-26	EPI_ISL_764279	2020/12/26	Europe	UnitedKingdom	Scotland	UnitedKingdom
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7654554/2021-04-22	EPI_ISL_7654554	2021/04/22	NorthAmerica	Canada	Quebec	Canada
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_766245/2020-12-22	EPI_ISL_766245	2020/12/22	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/Sweden/Stockholm/EPI_ISL_766709/2020-12-24	EPI_ISL_766709	2020/12/24	Europe	Sweden	Stockholm	Sweden
hCoV-19/Europe/Italy/Lazio/EPI_ISL_7672443/2021-05-01	EPI_ISL_7672443	2021/05/01	Europe	Italy	Lazio	Italy
hCoV-19/Asia/Japan/EPI_ISL_768642/2020-12-19	EPI_ISL_768642	2020/12/19	Asia	Japan	EPI_ISL_768642	Japan
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Saint-Vallier-de-Thiey/EPI_ISL_768827/2020-12-22	EPI_ISL_768827	2020/12/22	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Europe/France/Provence-Alpes-CotedAzur/Saint-Vallier-de-Thiey/EPI_ISL_768828/2020-12-22	EPI_ISL_768828	2020/12/22	Europe	France	Provence-Alpes-CotedAzur	France
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_770441/2020-12-24	EPI_ISL_770441	2020/12/24	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_770462/2020-12-28	EPI_ISL_770462	2020/12/28	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_770467/2020-12-28	EPI_ISL_770467	2020/12/28	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Europe/UnitedKingdom/England/EPI_ISL_770469/2020-12-28	EPI_ISL_770469	2020/12/28	Europe	UnitedKingdom	England	UnitedKingdom
hCoV-19/Africa/Botswana/Maun/EPI_ISL_770471/2020-12-17	EPI_ISL_770471	2020/12/17	Africa	Botswana	Maun	Botswana
hCoV-19/Africa/Botswana/Maun/EPI_ISL_770472/2020-12-17	EPI_ISL_770472	2020/12/17	Africa	Botswana	Maun	Botswana
hCoV-19/Africa/Botswana/Francistown/EPI_ISL_770473/2020-12-23	EPI_ISL_770473	2020/12/23	Africa	Botswana	Francistown	Botswana
hCoV-19/Africa/Botswana/Francistown/EPI_ISL_770474/2020-12-18	EPI_ISL_770474	2020/12/18	Africa	Botswana	Francistown	Botswana
hCoV-19/Africa/Botswana/Maun/EPI_ISL_770475/2020-12-23	EPI_ISL_770475	2020/12/23	Africa	Botswana	Maun	Botswana
hCoV-19/NorthAmerica/CostaRica/Heredia/Barva/EPI_ISL_7711694/2021-04-06	EPI_ISL_7711694	2021/04/06	NorthAmerica	CostaRica	Heredia	CostaRica
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713375/2021-04-01	EPI_ISL_7713375	2021/04/01	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713394/2021-03-31	EPI_ISL_7713394	2021/03/31	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713395/2021-04-03	EPI_ISL_7713395	2021/04/03	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713404/2021-04-04	EPI_ISL_7713404	2021/04/04	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713413/2021-04-06	EPI_ISL_7713413	2021/04/06	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713414/2021-04-06	EPI_ISL_7713414	2021/04/06	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713416/2021-04-08	EPI_ISL_7713416	2021/04/08	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713420/2021-04-08	EPI_ISL_7713420	2021/04/08	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713451/2021-04-10	EPI_ISL_7713451	2021/04/10	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713452/2021-04-11	EPI_ISL_7713452	2021/04/11	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713454/2021-04-11	EPI_ISL_7713454	2021/04/11	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713457/2021-04-09	EPI_ISL_7713457	2021/04/09	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713480/2021-04-12	EPI_ISL_7713480	2021/04/12	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713492/2021-04-11	EPI_ISL_7713492	2021/04/11	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713494/2021-04-13	EPI_ISL_7713494	2021/04/13	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713501/2021-04-12	EPI_ISL_7713501	2021/04/12	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713502/2021-04-13	EPI_ISL_7713502	2021/04/13	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713503/2021-04-11	EPI_ISL_7713503	2021/04/11	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713506/2021-04-13	EPI_ISL_7713506	2021/04/13	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713510/2021-04-13	EPI_ISL_7713510	2021/04/13	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713512/2021-04-13	EPI_ISL_7713512	2021/04/13	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713526/2021-04-14	EPI_ISL_7713526	2021/04/14	NorthAmerica	Canada	Quebec	Canada
hCoV-19/NorthAmerica/Canada/Quebec/EPI_ISL_7713527/2021-04-14	EPI_ISL_7713527	2021/04/14	NorthAmerica	Canada	Quebec	Canada
