,EventTime,Origin,Destination
437,2021.0013600000002,SouthAfrica - Gauteng,Japan
438,2020.9767200000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
439,2021.02328,SouthAfrica - WesternCape,SouthAfrica - NorthernCape
440,2021.4589,SouthAfrica - WesternCape,SouthAfrica - Gauteng
441,2020.8428400000003,SouthAfrica - WesternCape,SouthAfrica - EasternCape
442,2021.0287600000001,SouthAfrica - WesternCape,Switzerland
443,2020.8428300000003,SouthAfrica - WesternCape,SouthAfrica - EasternCape
444,2021.1958700000002,SouthAfrica - WesternCape,Germany
445,2021.1054600000002,SouthAfrica - WesternCape,Cameroon
446,2020.9411900000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
447,2020.9603200000001,SouthAfrica - Gauteng,SouthAfrica - Gauteng
448,2020.7753000000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
449,2020.9384700000003,SouthAfrica - EasternCape,SouthAfrica - KwaZulu-Natal
450,2020.8783600000002,SouthAfrica - EasternCape,SouthAfrica - WesternCape
451,2020.94665,SouthAfrica - WesternCape,UnitedKingdom
