Name	Accession ID	Date	Location	Region	Location_with_Region
hCoV-19/NorthAmerica/USA/Oregon/WashingtonCounty/EPI_ISL_3216814/2021-07-23	EPI_ISL_3216814	2021/07/23	USA	Oregon	USA
hCoV-19/NorthAmerica/USA/Kansas/EPI_ISL_3216923/2021-07-29	EPI_ISL_3216923	2021/07/29	USA	Kansas	USA
hCoV-19/Europe/France/CentreValdeLoire/Pannes/EPI_ISL_3219463/2021-07-09	EPI_ISL_3219463	2021/07/09	France	CentreValdeLoire	France
hCoV-19/Europe/France/Bretagne/Brest/EPI_ISL_3219558/2021-07-13	EPI_ISL_3219558	2021/07/13	France	Bretagne	France
hCoV-19/Africa/SouthAfrica/NorthWest/EPI_ISL_3219772/2021-07-13	EPI_ISL_3219772	2021/07/13	SouthAfrica	NorthWest	SouthAfrica - NorthWest
hCoV-19/Africa/SouthAfrica/Mpumalanga/EPI_ISL_3219774/2021-07-19	EPI_ISL_3219774	2021/07/19	SouthAfrica	Mpumalanga	SouthAfrica - Mpumalanga
hCoV-19/Africa/SouthAfrica/Mpumalanga/EPI_ISL_3219776/2021-07-22	EPI_ISL_3219776	2021/07/22	SouthAfrica	Mpumalanga	SouthAfrica - Mpumalanga
hCoV-19/Africa/SouthAfrica/Mpumalanga/EPI_ISL_3219777/2021-07-22	EPI_ISL_3219777	2021/07/22	SouthAfrica	Mpumalanga	SouthAfrica - Mpumalanga
hCoV-19/Africa/SouthAfrica/Mpumalanga/EPI_ISL_3219778/2021-07-23	EPI_ISL_3219778	2021/07/23	SouthAfrica	Mpumalanga	SouthAfrica - Mpumalanga
hCoV-19/Africa/SouthAfrica/Mpumalanga/EPI_ISL_3219779/2021-07-23	EPI_ISL_3219779	2021/07/23	SouthAfrica	Mpumalanga	SouthAfrica - Mpumalanga
hCoV-19/Africa/SouthAfrica/Mpumalanga/EPI_ISL_3219781/2021-07-13	EPI_ISL_3219781	2021/07/13	SouthAfrica	Mpumalanga	SouthAfrica - Mpumalanga
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219783/2021-07-19	EPI_ISL_3219783	2021/07/19	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219785/2021-07-23	EPI_ISL_3219785	2021/07/23	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219786/2021-07-20	EPI_ISL_3219786	2021/07/20	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219787/2021-07-20	EPI_ISL_3219787	2021/07/20	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219789/2021-07-20	EPI_ISL_3219789	2021/07/20	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219790/2021-07-21	EPI_ISL_3219790	2021/07/21	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219791/2021-07-22	EPI_ISL_3219791	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219793/2021-07-22	EPI_ISL_3219793	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219794/2021-07-22	EPI_ISL_3219794	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219795/2021-07-22	EPI_ISL_3219795	2021/07/22	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219796/2021-07-14	EPI_ISL_3219796	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219797/2021-07-14	EPI_ISL_3219797	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219798/2021-07-14	EPI_ISL_3219798	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
hCoV-19/Africa/SouthAfrica/Gauteng/EPI_ISL_3219799/2021-07-14	EPI_ISL_3219799	2021/07/14	SouthAfrica	Gauteng	SouthAfrica - Gauteng
