,EventTime,Origin,Destination
1008,2021.77532,SouthAfrica - Gauteng,SouthAfrica - FreeState
1009,2021.67121,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1010,2021.6493,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1011,2021.6027199999999,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
1012,2021.71505,SouthAfrica - Gauteng,SouthKorea
1013,2021.50208,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1014,2021.6027199999999,SouthAfrica - NorthWest,SouthAfrica - Limpopo
1015,2021.72875,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1016,2021.72875,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1017,2021.64382,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1018,2021.6410799999999,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1019,2021.62738,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1020,2021.73696,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
1021,2021.42455,SouthAfrica - Gauteng,Eswatini
1022,2021.8575,Eswatini,SouthAfrica - Mpumalanga
1023,2021.6547699999999,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
1024,2021.49424,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1025,2021.75066,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
1026,2021.76983,SouthAfrica - KwaZulu-Natal,SouthAfrica - FreeState
1027,2021.62189,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1028,2021.55614,SouthAfrica - Gauteng,SouthAfrica - nan
1029,2021.60547,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1030,2021.61642,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1031,2021.83286,SouthAfrica - Gauteng,SouthAfrica - FreeState
1032,2021.61369,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1033,2021.6273899999999,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1034,2021.64382,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1035,2021.55404,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1036,2021.60546,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1037,2021.73697,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1038,2021.63012,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
1039,2022.00272,SouthAfrica - Gauteng,SouthAfrica - NorthWest
1040,2021.75614,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
1041,2021.77532,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1042,2021.76543,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1043,2021.64655,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1044,2021.76162,SouthAfrica - Gauteng,SouthAfrica - FreeState
1045,2021.75614,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
1046,2021.53441,SouthAfrica - Gauteng,Mozambique
1047,2021.70683,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1048,2021.76436,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1049,2021.7115999999999,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1050,2021.9342199999999,SouthAfrica - EasternCape,SouthAfrica - Mpumalanga
1051,2021.77532,SouthAfrica - Gauteng,SouthAfrica - Limpopo
1052,2021.65949,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
1053,2021.66025,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1054,2021.66299,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
1055,2021.54792,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1056,2021.54308,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1057,2021.61255,SouthAfrica - KwaZulu-Natal,SouthAfrica - NorthernCape
1058,2021.61915,SouthAfrica - Gauteng,Ireland
1059,2021.66573,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
1060,2021.78354,SouthAfrica - NorthernCape,SouthAfrica - Gauteng
1061,2021.54792,SouthAfrica - Gauteng,Lesotho
1062,2021.66847,Lesotho,USA
1063,2021.66256,SouthAfrica - Gauteng,SouthAfrica - FreeState
1064,2021.83559,SouthAfrica - FreeState,SouthAfrica - NorthernCape
1065,2021.5478699999999,SouthAfrica - Gauteng,SouthAfrica - FreeState
1066,2021.51506,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
1067,2021.58081,SouthAfrica - NorthernCape,SouthAfrica - EasternCape
1068,2021.52876,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1069,2021.60274,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1070,2021.5297699999999,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1071,2021.54795,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1072,2021.76165,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1073,2021.56987,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1074,2021.76712,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1075,2021.53151,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1076,2021.60822,SouthAfrica - Gauteng,SouthAfrica - EasternCape
1077,2021.64388,SouthAfrica - Gauteng,SouthAfrica - WesternCape
1078,2021.66848,SouthAfrica - Gauteng,Canada
1079,2021.56986,SouthAfrica - Gauteng,SouthAfrica - FreeState
1080,2021.6136999999999,SouthAfrica - FreeState,SouthAfrica - Mpumalanga
